freq,verbatim_term,prefLabel_en
1,prunes,prune
1,gilliflower,gilliflower
1,mallow,mallow
1,marshmallow,marshmallow
3,cinnamon,cinnamon
1,jujubes,jujube
1,cabbage,cabbage
21,walnut,walnut
2,onions,onion
4,garlic,garlic
10,linseed,linseed
4,linen,linen
4,brazilwood,brazilwood
5,saffron,saffron
1,horsetail,horsetail
5,bean,bean
8,willow,willow
3,pea,pea
1,prele,prele
2,carnation,carnation
3,walnuts,walnut
1,pomole,pomole
1,baillard,baillard
5,millet,millet
1,beans,bean
4,roses,rose
2,heather,heather
1,visaube,visaube
1,wallwort,wallwort
3,quince,quince
1,cotton,cotton
1,oranges,orange
3,hemp,hemp
1,straw,straw
1,puffball,puffball
3,orange,orange
1,skirret,skirret
1,onion,onion
1,trees,tree
25,wheat,wheat
2,rye,rye
3,peas,pea
1,hazelnuts,hazelnut
11,vine,vine
1,arum,arum
1,grain,grain
5,boxwood,boxwood
1,fern,fern
1,saltwort,saltwort
4,wormwood,wormwood
1,pepper,pepper
1,melons,melon
3,marigold,marigold
2,fir,fir
2,sorrel,sorrel
2,artichokes,artichoke
2,lettuces,lettuce
13,olive,olive
3,mericotons,mericoton
2,pavis,pavi
1,lemon,lemon
2,bugloss,bugloss
5,pansy,pansy
1,columbine,columbine
1,cornflower,cornflower
1,flax,flax
1,grains,grain
1,dittany,dittany
2,rue,rue
1,mandrake,mandrake
2,clove,clove
1,gentian,gentian
1,guaiac,guaiac
1,peony,peony
1,symphytum,symphytum
2,mustard,mustard
2,cloves,clofe
1,oats,oat
1,cherries,cherry
1,plums,plum
2,almonds,almond
1,lettuce,lettuce
1,ettuce,ettuce
3,rapeseed,rapeseed
1,fenugreek,fenugreek
1,alberges,alberge
3,apricots,apricot
1,heath,heath
1,vermicularis,vermiculari
1,semperviva,semperviva
1,horseradish,horseradish
1,weld,weld
1,aloe,aloe
2,almond,almond
2,peach,peach
2,amaranth,amaranth
1,pomegranate,pomegranate
1,sumac,sumac
6,elm,elm
1,maple,maple
1,persicaire,persicaire
1,maplewood,maplewood
1,fustet,fustet
4,rosemary,rosemary
2,beech,beech
1,oak,oak
1,aspic,aspic
1,osier,osier
1,bramble,bramble
1,peaches,peach
1,olives,olife
2,sage,sage
1,rowan,rowan
1,straws,straw
1,prune,prune
1,anthos,antho
1,ivy,ivy
1,oraches,orach
1,vini,vini
1,nettles,nettle
2,chestnuts,chestnut
6,rose,rose
2,hazelnut,hazelnut
2,asparagus,asparagu
1,daisies,daisy
1,mushrooms,mushroom
1,potirons,potiron
2,wormseed,wormseed
1,marigolds,marigold
3,carnations,carnation
1,broom,broom
2,pansies,pansy
1,ranunculus,ranunculu
1,cornflowers,cornflower
1,zedoary,zedoary
1,burdock,burdock
1,pappus,pappu
1,dandelion,dandelion
1,sauvignons,sauvignon
1,chauchés,chauchés
1,apples,apple
1,grapes,grape
1,pears,pear
1,grape,grape
1,thyme,thyme
1,strawberry,strawberry
2,strawberries,strawberry
1,periwinkle,periwinkle
1,mosses,moss
1,scabious,scabious
1,seeds,seed
1,ruta,rutum
7,pastel woad,pastel woad
1,hog’s fennel,hog’s fennel
1,grains of wheat,grain
25,spike lavender,spike lavender
1,service tree,tree
8,fig tree,tree
1,guesde woad,guesde woad
2,black cherry,cherry
1,calf’s foot,calf’s foot
2,capilli veneris,capilli veneri
1,lapathum acutum,lapathum acutum
1,cooking herbs,cooking herb
1,lapathium acutum maius,lapathium acutum maiu
1,monk’s rhubarb,monk’s rhubarb
1,garden lily,garden lily
1,red poppy,red poppy
1,lily flower,lily flower
1,consolida maior,consolida maior
2,walnut tree,tree
1,almond tree,tree
3,almond trees,tree
1,white mulberry,white mulberry
1,pear tree,tree
1,fir tree,tree
2,palma christi,palma christi
1,broom flower,broom flower
2,orberé grain,grain
1,olive tree,tree
1,blackthorn sloes,blackthorn slo
1,elm tree,tree
1,vine shoots,vine shoot
1,guesdre woad,guesdre woad
1,elm root,elm root
1,orange tree,tree
1,orange trees,tree
1,prune trees,tree
1,apricot trees,tree
1,peach trees,tree
1,plum trees,tree
1,quince trees,tree
3,peach tree,tree
1,mericoton peaches,peach
1,palta lupina,palta lupina
1,yellow meadow flowers,yellow meadow flower
1,caper plant,caper plant
1,wheat chaff,wheat chaff
1,yellow millet,millet
1,some of small,some of small
1,large amaranth,amaranth
1,turmeric root,turmeric root
1,terra merita,terra meritum
1,rose bushes,rose
1,strawberry plants,strawberry plant
1,rose bush,rose
1,marigold flowers,marigold flower
1,olive trees,tree
1,baccis juniperi,baccis juniperi
