freq,verbatim_term,prefLabel_en
1,aucupio,aucupio
3,chicken,chicken
1,lamb,lamb
2,partridge,partridge
7,dragon,dragon
9,fish,fish
1,codfish,codfish
19,horse,horse
2,mutton,mutton
11,lizard,lizard
5,hog,hog
1,animal,animal
5,toad,toad
2,swine,swine
24,snakes,snake
18,snake,snake
1,swallows,swallow
8,cuttlefish,cuttlefish
4,horses,horse
1,cat,cat
1,swan,swan
1,horses’,horse
3,pigeon,pigeon
1,rabbits,rabbit
5,cow,cow
3,ox,ox
1,ducks,duck
1,ewe,ewe
7,sheep,sheep
1,ewes,ewe
2,crow,crow
1,beef,beef
4,dogs,dog
8,birds,bird
2,oyster,oyster
2,ortolans,ortolan
1,turtledoves,turtledofe
1,siskins,siskin
1,calandra,calandra
1,chaffinches,chaffinch
4,bird,bird
1,goldfinches,goldfinch
1,verdaule,verdaule
1,linnet,linnet
1,cuckoo,cuckoo
7,spider,spider
1,colt,colt
5,worms,worm
8,oxen,ox
1,worm,worm
1,silkworms,silkworm
1,bombicum,bombicum
3,butterfly,butterfly
2,pork,pork
7,dog,dog
2,snails,snail
1,daot,daot
1,earthworms,earthworm
1,lambs,lamb
1,goats,goat
1,dormice,dormouse
1,porcupine,porcupine
1,weasels,weasel
3,rats,rat
2,squirrel,squirrel
3,rat,rat
1,pigeons,pigeon
1,petit-gris,petit-gri
1,duck,duck
1,fishes,fish
1,human,human
4,wolf,wolf
3,pig,pig
1,oysters,oyster
1,tellins,tellin
1,mussels,mussel
1,shells,shell
1,calf,calf
1,dogfish,dogfish
1,fleas,flea
1,water-dogs,water-dog
1,ogs,og
1,dogs’,dog
11,turtles,turtle
2,nightingales,nightingale
4,nightingale,nightingale
1,calendras,calendra
2,mealworms,mealworm
2,ants,ant
16,lizards,lizard
14,crayfish,crayfish
4,crabs,crab
1,hart,hart
4,frog,frog
5,crab,crab
1,lice,louse
1,frogs,frog
1,larks,lark
3,butterflies,butterfly
1,vipers,viper
1,viper,viper
5,flies,fly
1,cats,cat
1,spiders,spider
3,grasshoppers,grasshopper
1,grasshopper,grasshopper
4,turtle,turtle
1,eagle,eagle
3,bittern,bittern
1,cicadas,cicada
9,fly,fly
1,bat,bat
1,mouse,mouse
1,passerines,passerine
1,chicks,chick
1,hen,hen
1,mules,mule
1,barbels,barbel
1,bats,bat
1,good horses,horse
2,field mice,field mouse
1,calandra larks,lark
1,calandra lark,calandra lark
1,small birds,bird
1,passe solitaire,passe solitaire
1,young small birds,bird
1,female silkworm seeds,female silkworm seed
1,black ants,ant
1,beech martens,beech marten
1,goat kid,goat kid
1,goat buck,goat buck
1,common dogs,dog
2,female lizards,lizard
1,water snakes,snake
1,common snake,snake
1,small crabs,crab
1,horned asp,horned asp
1,little lizard,lizard
1,viper color,viper color
2,stag beetle,stag beetle
1,large lizard,lizard
1,very small female lizard,lizard
1,large lizards,lizard
1,smalls female lizards,smalls female lizard
1,small female lizards,lizard
1,wall lizard,lizard
1,small wall lizard,lizard
1,small frog,frog
2,stag beetles,stag beetle
1,those from water,those from water
3,those of the garrigue,those of the garrigue
1,water turtle,turtle
3,those of the water,those of the water
1,those of water,those of water
1,large flies,fly
1,small mouse,mouse
1,big rat,rat
1,largest vo flies,fly
1,solid bird,bird
1,little viper,viper
